zipCode,city,state,zone
90740,Seal Beach,CA,C
90742,Sunset Beach,CA,
90743,Surfside,CA,
90744,Wilmington,CA,B
90745,Carson,CA,B
90746,Carson,CA,B
90747,Carson,CA,B
90748,Wilmington,CA,B
90749,Carson,CA,B
90755,Signal Hill,CA,B
90801,Long Beach,CA,B
90802,Long Beach,CA,B
90803,Long Beach,CA,B
90804,Long Beach,CA,B
90805,Long Beach,CA,B
90806,Long Beach,CA,B
90807,Long Beach,CA,B
90808,Long Beach,CA,B
90809,Long Beach,CA,B
90810,Long Beach,CA,B
90813,Long Beach,CA,B
90814,Long Beach,CA,B
90815,Long Beach,CA,B
90822,Long Beach,CA,B
90831,Long Beach,CA,B
90832,Long Beach,CA,B
90833,Long Beach,CA,B
90834,Long Beach,CA,B
90835,Long Beach,CA,B
90840,Long Beach,CA,B
90842,Long Beach,CA,B
90844,Long Beach,CA,B
90846,Long Beach,CA,B
90847,Long Beach,CA,B
90848,Long Beach,CA,B
90853,Long Beach,CA,B
90895,Carson,CA,B
90899,Long Beach,CA,B
91001,Altadena,CA,C
91003,Altadena,CA,C
91006,Arcadia,CA,B
91007,Arcadia,CA,B
91008,Duarte,CA,B
91009,Duarte,CA,B
91010,Duarte,CA,B
91011,La Canada Flintridge,CA,C
91012,La Canada Flintridge,CA,C
91016,Monrovia,CA,C
91017,Monrovia,CA,C
91020,Montrose,CA,C
91021,Montrose,CA,C
91023,Mount Wilson,CA,
91024,Sierra Madre,CA,B
91025,Sierra Madre,CA,B
91030,South Pasadena,CA,B
91031,South Pasadena,CA,B
91040,Sunland,CA,
91041,Sunland,CA,
91042,Tujunga,CA,
91043,Tujunga,CA,
91046,Verdugo City,CA,
91066,Arcadia,CA,B
91077,Arcadia,CA,B
91101,Pasadena,CA,B
91102,Pasadena,CA,B
91103,Pasadena,CA,B
91104,Pasadena,CA,B
91105,Pasadena,CA,B
91106,Pasadena,CA,B
91107,Pasadena,CA,B
91108,San Marino,CA,B
91109,Pasadena,CA,B
91110,Pasadena,CA,B
91114,Pasadena,CA,B
91115,Pasadena,CA,B
91116,Pasadena,CA,B
91117,Pasadena,CA,B
91118,San Marino,CA,B
91121,Pasadena,CA,B
91123,Pasadena,CA,B
91124,Pasadena,CA,B
91125,Pasadena,CA,B
91126,Pasadena,CA,B
91129,Pasadena,CA,B
91182,Pasadena,CA,B
91184,Pasadena,CA,B
91185,Pasadena,CA,B
91188,Pasadena,CA,B
91189,Pasadena,CA,B
91199,Pasadena,CA,B
91201,Glendale,CA,B
91202,Glendale,CA,B
91203,Glendale,CA,B
91204,Glendale,CA,B
91205,Glendale,CA,B
91206,Glendale,CA,B
91207,Glendale,CA,B
91208,Glendale,CA,B
91209,Glendale,CA,B
91210,Glendale,CA,B
91214,La Crescenta,CA,C
91221,Glendale,CA,B
91222,Glendale,CA,B
91224,La Crescenta,CA,C
91225,Glendale,CA,B
91226,Glendale,CA,B
91301,Agoura Hills,CA,D
91302,Calabasas,CA,D
91303,Canoga Park,CA,C
91304,Canoga Park,CA,C
91305,Canoga Park,CA,C
91306,Winnetka,CA,
91307,West Hills,CA,B
91308,West Hills,CA,B
91309,Canoga Park,CA,C
91310,Castaic,CA,D
91311,Chatsworth,CA,C
91313,Chatsworth,CA,C
91316,Encino,CA,B
91319,Newbury Park,CA,E
91320,Newbury Park,CA,E
91321,Newhall,CA,E
91322,Newhall,CA,E
91324,Northridge,CA,C
91325,Northridge,CA,C
91326,Porter Ranch,CA,
91327,Northridge,CA,C
91328,Northridge,CA,C
91329,Northridge,CA,C
91330,Northridge,CA,C
91331,Pacoima,CA,B
91333,Pacoima,CA,B
91334,Pacoima,CA,B
91335,Reseda,CA,B
91337,Reseda,CA,B
91340,San Fernando,CA,C
91341,San Fernando,CA,B
91342,Sylmar,CA,B
91343,North Hills,CA,
91344,Granada Hills,CA,C
91345,Mission Hills,CA,B
91346,Mission Hills,CA,B
91350,Santa Clarita,CA,E
91351,Canyon Country,CA,C
91352,Sun Valley,CA,
91353,Sun Valley,CA,
91354,Valencia,CA,E
91355,Valencia,CA,E
91356,Tarzana,CA,B
91357,Tarzana,CA,B
91358,Thousand Oaks,CA,
91359,Westlake Village,CA,E
91360,Thousand Oaks,CA,
91361,Hidden Valley,CA,
91361,Lake Sherwood,CA,
91361,Thousand Oaks,CA,
91361,Westlake Village,CA,E
91361,Westlake Village ,CA,E
91362,Thousand Oaks,CA,
91364,Woodland Hills,CA,B
91365,Woodland Hills,CA,B
91367,Woodland Hills,CA,B
91371,Woodland Hills,CA,B
91372,Calabasas,CA,D
91376,Agoura Hills,CA,D
91377,Oak Park,CA,
91380,Santa Clarita,CA,E
91381,Stevenson Ranch,CA,E
91382,Santa Clarita,CA,E
91383,Santa Clarita,CA,E
91384,Castaic,CA,D
91385,Valencia,CA,E
91386,Canyon Country,CA,C
91387,Canyon Country,CA,C
91390,Santa Clarita,CA,E
91392,Sylmar,CA,B
91393,North Hills,CA,
91394,Granada Hills,CA,C
91395,Mission Hills,CA,B
91396,Winnetka,CA,
91401,Van Nuys,CA,B
91402,Panorama City,CA,B
91403,Sherman Oaks,CA,B
91404,Van Nuys,CA,B
91405,Van Nuys,CA,B
91406,Van Nuys,CA,B
91407,Van Nuys,CA,B
91408,Van Nuys,CA,B
91409,Van Nuys,CA,B
91410,Van Nuys,CA,B
91411,Van Nuys,CA,B
91412,Panorama City,CA,B
91413,Sherman Oaks,CA,B
91416,Encino,CA,B
91423,Sherman Oaks,CA,B
91426,Encino,CA,B
91436,Encino,CA,B
91470,Van Nuys,CA,B
91482,Van Nuys,CA,B
91495,Sherman Oaks,CA,B
91496,Van Nuys,CA,B
91499,Van Nuys,CA,B
91501,Burbank,CA,C
91502,Burbank,CA,C
91503,Burbank,CA,C
91504,Burbank,CA,C
91505,Burbank,CA,C
91506,Burbank,CA,C
91507,Burbank,CA,C
91508,Burbank,CA,C
91510,Burbank,CA,C
91521,Burbank,CA,C
91522,Burbank,CA,C
91523,Burbank,CA,C
91526,Burbank,CA,C
91601,North Hollywood,CA,B
91602,North Hollywood,CA,B
91603,North Hollywood,CA,B
91604,Studio City,CA,B
91605,North Hollywood,CA,B
91606,North Hollywood,CA,B
91607,Valley Village,CA,
91608,Universal City,CA,B
91609,North Hollywood,CA,B
91610,Toluca Lake,CA,B
91611,North Hollywood,CA,B
91612,North Hollywood,CA,B
91614,Studio City,CA,B
91615,North Hollywood,CA,B
91616,North Hollywood,CA,B
91617,Valley Village,CA,
91618,North Hollywood,CA,B
91701,Alta Loma,CA,D
91701,Rancho Cucamonga ,CA,D
91702,Azusa,CA,C
91706,Baldwin Park,CA,C
91708,Chino,CA,D
91709,Chino Hills,CA,D
91710,Chino,CA,D
91711,Claremont,CA,D
91714,City of Industry,CA,C
91715,City of Industry,CA,C
91716,City of Industry,CA,C
91722,Covina,CA,C
91723,Covina,CA,C
91724,Covina,CA,C
91729,Rancho Cucamonga,CA,D
91730,Rancho Cucamonga,CA,D
91731,El Monte,CA,C
91732,El Monte,CA,C
91733,South El Monte,CA,C
91734,El Monte,CA,C
91735,El Monte,CA,C
91737,Alta Loma,CA,D
91737,Rancho Cucamonga ,CA,D
91739,Rancho Cucamonga,CA,D
91740,Glendora,CA,C
91741,Glendora,CA,C
91743,Guasti,CA,
91744,La Puente,CA,C
91745,Hacienda Heights,CA,C
91746,La Puente,CA,C
91747,La Puente,CA,C
91748,Rowland Heights,CA,C
91749,La Puente,CA,C
91750,La Verne,CA,C
91752,Mira Loma,CA,D
91754,Monterey Park,CA,B
91755,Monterey Park,CA,B
91756,Monterey Park,CA,B
91758,Ontario,CA,D
91759,Mt Baldy,CA,
91761,Ontario,CA,D
91762,Ontario,CA,D
91763,Montclair,CA,D
91764,Ontario,CA,D
91765,Diamond Bar,CA,C
91766,Pomona,CA,D
91767,Pomona,CA,D
91768,Pomona,CA,D
91769,Pomona,CA,D
91770,Rosemead,CA,C
91771,Rosemead,CA,C
91772,Rosemead,CA,C
91773,San Dimas,CA,C
91775,San Gabriel,CA,B
91776,San Gabriel,CA,B
91778,San Gabriel,CA,B
91780,Temple City,CA,C
91784,Upland,CA,D
91785,Upland,CA,D
91786,Upland,CA,D
91788,Walnut,CA,C
91789,Walnut,CA,C
91790,West Covina,CA,C
91791,West Covina,CA,C
91792,West Covina,CA,C
91793,West Covina,CA,C
91801,Alhambra,CA,B
91802,Alhambra,CA,B
91803,Alhambra,CA,B
91804,Alhambra,CA,B
91896,Alhambra,CA,B
91899,Alhambra,CA,B
91901,Alpine,CA,
91902,Bonita,CA,
91903,Alpine,CA,
91905,Boulevard,CA,
91906,Campo,CA,
91908,Bonita,CA,
91909,Chula Vista,CA,
91910,Chula Vista,CA,
91911,Chula Vista,CA,
91912,Chula Vista,CA,
91913,Chula Vista,CA,
91914,Chula Vista,CA,
91915,Chula Vista,CA,
91916,Descanso,CA,
91917,Dulzura,CA,
91921,Chula Vista,CA,
91931,Guatay,CA,
91932,Imperial Beach,CA,
91933,Imperial Beach,CA,
91934,Jacumba,CA,
91935,Jamul,CA,
91941,La Mesa,CA,
91942,La Mesa,CA,
91943,La Mesa,CA,
91944,La Mesa,CA,
91945,Lemon Grove,CA,
91946,Lemon Grove,CA,
91948,Mount Laguna,CA,
91950,National City,CA,
91951,National City,CA,
91962,Pine Valley,CA,
91963,Potrero,CA,
91976,Spring Valley,CA,F
91977,Spring Valley,CA,F
91978,Spring Valley,CA,F
91979,Spring Valley,CA,F
91980,Tecate,CA,
91987,Tecate,CA,
92003,Bonsall,CA,
92004,Borrego Springs,CA,
92007,Cardiff by the Sea,CA,
92008,Carlsbad,CA,
92009,Carlsbad,CA,
92010,Carlsbad,CA,
92011,Carlsbad,CA,
92013,Carlsbad,CA,
92014,Del Mar,CA,
92018,Carlsbad,CA,
92019,El Cajon,CA,
92020,El Cajon,CA,
92021,El Cajon,CA,
92022,El Cajon,CA,
92023,Encinitas,CA,
92024,Encinitas,CA,
92025,Escondido,CA,
92026,Escondido,CA,
92027,Escondido,CA,
92028,Fallbrook,CA,
92029,Escondido,CA,
92030,Escondido,CA,
92033,Escondido,CA,
92036,Julian,CA,
92037,La Jolla,CA,
92038,La Jolla,CA,
92039,La Jolla,CA,
92040,Lakeside,CA,
92046,Escondido,CA,
92049,Oceanside,CA,
92051,Oceanside,CA,
92052,Oceanside,CA,
92054,Oceanside,CA,
92055,Camp Pendleton,CA,
92056,Oceanside,CA,
92057,Oceanside,CA,
92058,Oceanside,CA,
92059,Pala,CA,
92060,Palomar Mountain,CA,
92061,Pauma Valley,CA,
92064,Poway,CA,
92065,Ramona,CA,
92066,Ranchita,CA,
92067,Rancho Santa Fe,CA,
92068,San Luis Rey,CA,
92069,San Marcos,CA,
92070,Santa Ysabel,CA,
92071,Santee,CA,
92072,Santee,CA,
92074,Poway,CA,
92075,Solana Beach,CA,
92078,San Marcos,CA,
92079,San Marcos,CA,
92081,Vista,CA,
92082,Valley Center,CA,
92083,Vista,CA,
92084,Vista,CA,
92085,Vista,CA,
92086,Warner Springs,CA,
92088,Fallbrook,CA,
92091,Rancho Santa Fe,CA,
92092,La Jolla,CA,
92093,La Jolla,CA,
92096,San Marcos,CA,
92101,San Diego,CA,
92101,San Diego ,CA,
92102,San Diego,CA,
92103,San Diego,CA,
92104,San Diego,CA,
92105,San Diego,CA,
92106,San Diego,CA,
92107,San Diego,CA,
92108,San Diego,CA,
92108,San Diego ,CA,
92109,San Diego,CA,
92110,San Diego,CA,
92111,San Diego,CA,
92112,San Diego,CA,
92113,San Diego,CA,
92114,San Diego,CA,
92115,San Diego,CA,
92116,San Diego,CA,
92117,San Diego,CA,
92118,Coronado,CA,
92119,San Diego,CA,
92120,San Diego,CA,
92121,San Diego,CA,
92122,San Diego,CA,
92123,San Diego,CA,
92124,San Diego,CA,
92126,San Diego,CA,
92127,San Diego,CA,
92128,San Diego,CA,
92129,San Diego,CA,
92130,San Diego,CA,
92131,San Diego,CA,
92132,San Diego,CA,
92134,San Diego,CA,
92135,San Diego,CA,
92136,San Diego,CA,
92137,San Diego,CA,
92138,San Diego,CA,
92139,San Diego,CA,
92140,San Diego,CA,
92142,San Diego,CA,
92143,San Ysidro,CA,
92145,San Diego,CA,
92147,San Diego,CA,
92149,San Diego,CA,
92150,San Diego,CA,
92152,San Diego,CA,
92153,San Diego,CA,
92154,San Diego,CA,
92155,San Diego,CA,
92158,San Diego,CA,
92159,San Diego,CA,
92160,San Diego,CA,
92161,San Diego,CA,
92163,San Diego,CA,
92165,San Diego,CA,
92166,San Diego,CA,
92167,San Diego,CA,
92168,San Diego,CA,
92169,San Diego,CA,
92170,San Diego,CA,
92171,San Diego,CA,
92172,San Diego,CA,
92173,San Ysidro,CA,
92174,San Diego,CA,
92175,San Diego,CA,
92176,San Diego,CA,
92177,San Diego,CA,
92178,Coronado,CA,
92179,San Diego,CA,
92182,San Diego,CA,
92186,San Diego,CA,
92187,San Diego,CA,
92190,San Diego,CA,
92191,San Diego,CA,
92192,San Diego,CA,
92193,San Diego,CA,
92195,San Diego,CA,
92196,San Diego,CA,
92197,San Diego,CA,
92198,San Diego,CA,
92199,San Diego,CA,
92201,Indio,CA,
92202,Indio,CA,
92203,Indio,CA,
92210,Indian Wells,CA,
92211,Palm Desert,CA,
92220,Banning,CA,
92223,Beaumont,CA,
92225,Blythe,CA,
92226,Blythe,CA,
92230,Cabazon,CA,
92234,Cathedral City,CA,
92235,Cathedral City,CA,
92236,Coachella,CA,
92239,Desert Center,CA,
92240,Desert Hot Springs,CA,
92241,Desert Hot Springs,CA,
92242,Earp,CA,
92247,La Quinta,CA,C
92248,La Quinta,CA,C
92252,Joshua Tree,CA,
92253,La Quinta,CA,C
92254,Mecca,CA,
92255,Palm Desert,CA,
92256,Morono Valley,CA,E
92258,North Palm Springs,CA,
92260,Palm Desert,CA,
92261,Palm Desert,CA,
92262,Palm Springs,CA,
92263,Palm Springs,CA,
92264,Palm Springs,CA,
92267,Parker Dam,CA,
92268,Pioneertown,CA,
92270,Rancho Mirage,CA,
92274,Thermal,CA,
92276,Thousand Palms,CA,
92277,Twentynine Palms,CA,
92278,Twentynine Palms,CA,
92280,Vidal,CA,
92282,Whitewater,CA,
92284,Yucca Valley,CA,
92285,Landers,CA,
92286,Yucca Valley,CA,
92301,Adelanto,CA,
92304,Amboy,CA,
92305,Angelus Oaks,CA,
92307,Apple Valley,CA,
92308,Apple Valley,CA,
92309,Baker,CA,
92310,Fort Irwin,CA,
92311,Barstow,CA,
92312,Barstow,CA,
92313,Grand Terrace,CA,
92314,Big Bear City,CA,
92315,Big Bear Lake,CA,
92316,Bloomington,CA,E
92317,Blue Jay,CA,
92318,Bryn Mawr,CA,
92320,Calimesa,CA,
92321,Cedar Glen,CA,
92322,Cedarpines Park,CA,
92323,Cima,CA,
92324,Colton,CA,D
92325,Crestline,CA,
92327,Daggett,CA,
92329,Phelan,CA,
92331,Fontana,CA,E
92332,Essex,CA,
92333,Fawnskin,CA,
92334,Fontana,CA,E
92335,Fontana,CA,E
92336,Fontana,CA,E
92337,Fontana,CA,E
92338,Ludlow,CA,
92339,Forest Falls,CA,
92340,Hesperia,CA,
92341,Green Valley Lake,CA,
92342,Helendale,CA,
92344,Hesperia,CA,
92345,Hesperia,CA,
92346,Highland,CA,D
92347,Hinkley,CA,
92350,Loma Linda,CA,
92352,Lake Arrowhead,CA,
92354,Loma Linda,CA,
92356,Lucerne Valley,CA,
92357,Loma Linda,CA,
92358,Lytle Creek,CA,
92359,Mentone,CA,
92363,Needles,CA,
92364,Nipton,CA,
92365,Newberry Springs,CA,
92366,Mountain Pass,CA,
92368,Oro Grande,CA,
92369,Patton,CA,
92371,Phelan,CA,
92372,Pinon Hills,CA,
92373,Redlands,CA,E
92374,Redlands,CA,E
92375,Redlands,CA,E
92376,Rialto,CA,E
92377,Rialto,CA,E
92378,Rimforest,CA,
92382,Running Springs,CA,
92385,Skyforest,CA,
92386,Sugarloaf,CA,
92391,Twin Peaks,CA,
92392,Victorville,CA,
92393,Victorville,CA,
92394,Victorville,CA,
92395,Victorville,CA,
92397,Wrightwood,CA,
92398,Yermo,CA,
92399,Yucaipa,CA,
92401,San Bernardino,CA,E
92402,San Bernardino,CA,E
92403,San Bernardino,CA,E
92404,San Bernardino,CA,E
92405,San Bernardino,CA,E
92406,San Bernardino,CA,E
92407,San Bernardino,CA,E
92408,San Bernardino,CA,E
92410,San Bernardino,CA,E
92411,San Bernardino,CA,E
92413,San Bernardino,CA,E
92415,San Bernardino,CA,E
92418,San Bernardino,CA,E
92423,San Bernardino,CA,E
92427,San Bernardino,CA,E
92501,Riverside,CA,E
92502,Riverside,CA,E
92503,Riverside,CA,E
92504,Riverside,CA,E
92505,Riverside,CA,E
92506,Riverside,CA,E
92507,Riverside,CA,E
92508,Riverside,CA,E
92509,Riverside,CA,E
92513,Riverside,CA,E
92514,Riverside,CA,E
92515,Riverside,CA,E
92516,Riverside,CA,E
92517,Riverside,CA,E
92518,March Air Reserve Base,CA,
92519,Riverside,CA,E
92521,Riverside,CA,E
92522,Riverside,CA,E
92530,Lake Elsinore,CA,F
92531,Lake Elsinore,CA,F
92532,Lake Elsinore,CA,F
92536,Aguanga,CA,
92539,Anza,CA,
92543,Hemet,CA,
92544,Hemet,CA,
92545,Hemet,CA,
92546,Hemet,CA,
92548,Homeland,CA,
92549,Idyllwild,CA,
92551,Moreno Valley,CA,E
92552,Moreno Valley,CA,E
92553,Moreno Valley,CA,E
92554,Moreno Valley,CA,E
92555,Moreno Valley,CA,E
92556,Moreno Valley,CA,E
92557,Moreno Valley,CA,E
92561,Mountain Center,CA,
92562,Murrieta,CA,
92563,Murrieta,CA,
92564,Murrieta,CA,
92567,Nuevo,CA,
92570,Perris,CA,F
92570,Perris ,CA,F
92571,Perris,CA,F
92571,Perris ,CA,F
92572,Perris,CA,F
92581,San Jacinto,CA,
92582,San Jacinto,CA,
92583,San Jacinto,CA,
92584,Menifee,CA,
92585,Sun City,CA,
92586,Sun City,CA,
92587,Quail Valley ,CA,
92587,Sun City,CA,
92589,Temecula,CA,
92590,Temecula,CA,
92591,Temecula,CA,
92592,Temecula,CA,
92593,Temecula,CA,
92595,Wildomar,CA,
92596,Winchester,CA,
92599,Perris,CA,F
92602,Irvine,CA,C
92603,Irvine,CA,C
92604,Irvine,CA,C
92605,Huntington Beach,CA,C
92606,Irvine,CA,C
92607,Laguna Niguel,CA,D
92609,El Toro,CA,D
92610,Foothill Ranch,CA,D
92612,Irvine,CA,C
92614,Irvine,CA,C
92615,Huntington Beach,CA,C
92616,Irvine,CA,C
92617,Irvine,CA,C
92618,Irvine,CA,C
92619,Irvine,CA,C
92620,Irvine,CA,C
92623,Irvine,CA,C
92624,Capistrano Beach,CA,
92625,Corona del Mar,CA,D
92626,Costa Mesa,CA,C
92627,Costa Mesa,CA,C
92628,Costa Mesa,CA,C
92629,Dana Point,CA,D
92630,Lake Forest,CA,D
92637,Laguna Hills,CA,D
92637,Laguna Woods ,CA,
92646,Huntington Beach,CA,C
92647,Huntington Beach,CA,C
92648,Huntington Beach,CA,C
92649,Huntington Beach,CA,C
92650,East Irvine,CA,
92651,Laguna Beach,CA,C
92652,Laguna Beach,CA,C
92653,Laguna Hills,CA,D
92654,Laguna Hills,CA,D
92655,Midway City,CA,
92656,Aliso Viejo,CA,D
92657,Newport Coast,CA,
92658,Newport Beach,CA,C
92659,Newport Beach,CA,C
92660,Newport Beach,CA,C
92661,Newport Beach,CA,C
92662,Newport Beach,CA,C
92663,Newport Beach,CA,C
92672,San Clemente,CA,D
92673,San Clemente,CA,D
92674,San Clemente,CA,D
92675,San Juan Capistrano,CA,D
92676,Silverado,CA,
92677,Laguna Niguel,CA,D
92678,Trabuco Canyon,CA,
92679,Trabuco Canyon,CA,
92683,Westminster,CA,C
92684,Westminster,CA,C
92685,Westminster,CA,C
92688,Rancho Santa Margarita,CA,E
92690,Mission Viejo,CA,D
92691,Mission Viejo,CA,D
92692,Mission Viejo,CA,D
92693,San Juan Capistrano,CA,D
92694,Ladera Ranch ,CA,
92694,Mission Viejo,CA,D
92697,Irvine,CA,C
92698,Aliso Viejo,CA,D
92701,Santa Ana,CA,C
92702,Santa Ana,CA,C
92703,Santa Ana,CA,C
92704,Santa Ana,CA,C
92705,Santa Ana,CA,C
92706,Santa Ana,CA,C
92707,Santa Ana,CA,C
92708,Fountain Valley,CA,C
92711,Santa Ana,CA,C
92712,Santa Ana,CA,C
92728,Fountain Valley,CA,C
92735,Santa Ana,CA,C
92780,Tustin,CA,C
92781,Tustin,CA,
92782,Tustin,CA,C
92799,Santa Ana,CA,C
92801,Anaheim,CA,C
92802,Anaheim,CA,C
92803,Anaheim,CA,C
92804,Anaheim,CA,C
92805,Anaheim,CA,C
92806,Anaheim,CA,C
92807,Anaheim,CA,C
92808,Anaheim,CA,C
92809,Anaheim,CA,C
92811,Atwood,CA,
92812,Anaheim,CA,C
92814,Anaheim,CA,C
